adversarial_min_fee_cents,cadence_sec,claimed_distance_m,claimed_path,constraints_ok,dataset,distance_bucket_m,effective_radius_m,granularity,honest_fee_cents,n_fixes,odometer_check_tolerance_m,path_changed_fixes,payload_mode,payload_odometer_tolerance_m,period_id,relay_radius_m,savings_ratio,skip_reason,true_distance_m,true_path
3610,120,361,"[1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,911,911,911]",True,rome,100,170.71067811865476,coarse,7776,25,1350,25,intra_cell,150,rome:60:67-1-s1:p0,100,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,120,361,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,910,910]",True,rome,100,270.71067811865476,coarse,7776,25,1350,24,intra_cell,150,rome:60:67-1-s1:p0,200,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,120,361,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,910]",True,rome,100,470.71067811865476,coarse,7776,25,1350,25,intra_cell,150,rome:60:67-1-s1:p0,400,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,300,361,"[1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,911,911,911]",True,rome,100,170.71067811865476,coarse,7776,25,1350,25,intra_cell,150,rome:60:67-1-s1:p0,100,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,300,361,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,910,910]",True,rome,100,270.71067811865476,coarse,7776,25,1350,24,intra_cell,150,rome:60:67-1-s1:p0,200,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,300,361,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,910]",True,rome,100,470.71067811865476,coarse,7776,25,1350,25,intra_cell,150,rome:60:67-1-s1:p0,400,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,120,361,"[1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,911,911,911]",True,rome,100,170.71067811865476,medium,7776,25,1350,25,intra_cell,150,rome:60:67-1-s1:p0,100,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,120,361,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,910,910]",True,rome,100,270.71067811865476,medium,7776,25,1350,24,intra_cell,150,rome:60:67-1-s1:p0,200,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,120,361,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,910]",True,rome,100,470.71067811865476,medium,7776,25,1350,25,intra_cell,150,rome:60:67-1-s1:p0,400,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,300,361,"[1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,911,911,911]",True,rome,100,170.71067811865476,medium,7776,25,1350,25,intra_cell,150,rome:60:67-1-s1:p0,100,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,300,361,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,910,910]",True,rome,100,270.71067811865476,medium,7776,25,1350,24,intra_cell,150,rome:60:67-1-s1:p0,200,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,300,361,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,910]",True,rome,100,470.71067811865476,medium,7776,25,1350,25,intra_cell,150,rome:60:67-1-s1:p0,400,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,120,361,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,910,910]",True,rome,100,270.71067811865476,fine,7776,25,1350,24,intra_cell,150,rome:60:67-1-s1:p0,200,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,120,361,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,910]",True,rome,100,470.71067811865476,fine,7776,25,1350,25,intra_cell,150,rome:60:67-1-s1:p0,400,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
3610,300,361,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,910,910]",True,rome,100,270.71067811865476,fine,7776,25,1350,24,intra_cell,150,rome:60:67-1-s1:p0,200,0.5357510288065843,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
