round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1389646998,50,49,1,3,0.0,0.0213,49,49,3837,true,86,""
2,1389683405,50,49,1,5,0.0,0.0222,49,49,3871,true,271,""
3,1389720634,50,49,1,7,0.0,0.0233,49,49,3921,true,40,""
4,1389757222,50,49,1,9,0.0,0.0244,49,49,3857,true,308,""
5,1389793661,50,48,2,2,0.0,0.0417,48,48,3781,true,2,""
6,1389832367,50,49,1,5,0.0,0.0222,49,49,3867,true,9,""
7,1389869747,50,49,1,3,0.0,0.0213,49,49,3862,true,47,""
8,1389906644,50,49,1,9,0.0,0.0244,49,49,3870,true,291,""
9,1389943712,50,49,1,3,0.0,0.0213,49,49,3864,true,320,""
10,1389981204,50,49,1,7,0.0,0.0233,49,49,3853,true,341,""
11,1390018433,50,49,1,3,0.0,0.0213,49,49,3809,true,312,""
12,1390056539,50,49,1,5,0.0,0.0222,49,49,3900,true,1,""
13,1390094551,50,49,1,6,0.0,0.0227,49,49,3829,true,13,""
14,1390140860,50,49,1,3,0.0,0.0213,49,49,3869,true,255,""
15,1390181836,50,49,1,7,0.0,0.0233,49,49,3865,true,23,""
16,1390218427,50,49,1,4,0.0,0.0217,49,49,3869,true,11,""
17,1390255292,50,49,1,9,0.0,0.0244,49,49,3840,true,100,""
18,1390291971,50,49,1,5,0.0,0.0222,49,49,3873,true,106,""
19,1390330518,50,49,1,0,0.0,0.02,49,49,3882,true,243,""
20,1390375599,50,49,1,5,0.0,0.0222,49,49,3821,true,262,""
21,1390425643,50,48,2,5,0.0,0.0444,48,48,3772,true,3,""
22,1390468599,50,48,2,6,0.0,0.0455,48,48,3824,true,29,""
23,1390526522,50,49,1,4,0.0,0.0217,49,49,3846,true,301,""
24,1390567934,50,48,2,5,0.0,0.0444,48,48,3791,true,109,""
25,1390611211,50,48,2,4,0.0,0.0435,48,48,3808,true,160,""
26,1390664315,50,48,2,6,0.0,0.0455,48,48,3768,true,340,""
27,1390706607,50,48,2,5,0.0,0.0444,48,48,3757,true,134,""
28,1390746850,50,48,2,3,0.0,0.0426,48,48,3826,true,20,""
29,1390785463,50,48,2,6,0.0,0.0455,48,48,3794,true,54,""
30,1390823827,50,48,2,3,0.0,0.0426,48,48,3816,true,23,""
