round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1374113198,50,49,1,6,0.0,0.0227,49,49,3857,true,240,""
2,1374154793,50,49,1,6,0.0,0.0227,49,49,3854,true,271,""
3,1374195445,50,49,1,6,0.0,0.0227,49,49,3841,true,38,""
4,1374234287,50,49,1,8,0.0,0.0238,49,49,3861,true,33,""
5,1374273705,50,49,1,7,0.0,0.0233,49,49,3847,true,3,""
6,1374310551,50,49,1,7,0.0,0.0233,49,49,3824,true,22,""
7,1374349115,50,49,1,4,0.0,0.0217,49,49,3884,true,124,""
8,1374388658,50,49,1,7,0.0,0.0233,49,49,3842,true,31,""
9,1374427947,50,49,1,9,0.0,0.0244,49,49,3864,true,77,""
10,1374467327,50,49,1,9,0.0,0.0244,49,49,3846,true,7,""
11,1374505085,50,49,1,6,0.0,0.0227,49,49,3862,true,67,""
12,1374542251,50,49,1,5,0.0,0.0222,49,49,3854,true,93,""
13,1374579205,50,49,1,7,0.0,0.0233,49,49,3836,true,100,""
14,1374618075,50,49,1,2,0.0,0.0208,49,49,3872,true,24,""
15,1374659874,50,49,1,4,0.0,0.0217,49,49,3884,true,133,""
16,1374701021,50,49,1,3,0.0,0.0213,49,49,3879,true,356,""
17,1374740597,50,49,1,2,0.0,0.0208,49,49,3838,true,27,""
18,1374778304,50,49,1,3,0.0,0.0213,49,49,3850,true,104,""
19,1374816018,50,50,0,3,0.0,0.0,50,50,3924,true,316,""
20,1374855846,50,50,0,4,0.0,0.0,50,50,3934,true,352,""
21,1374894793,50,50,0,5,0.0,0.0,50,50,3962,true,254,""
22,1374932967,50,50,0,5,0.0,0.0,50,50,3905,true,132,""
23,1374970866,50,50,0,7,0.0,0.0,50,50,3940,true,20,""
24,1375011236,50,50,0,8,0.0,0.0,50,50,3903,true,3,""
25,1375048827,50,50,0,4,0.0,0.0,50,50,3961,true,10,""
26,1375086590,50,50,0,2,0.0,0.0,50,50,3912,true,287,""
27,1375124533,50,50,0,7,0.0,0.0,50,50,3922,true,2,""
28,1375162210,50,50,0,8,0.0,0.0,50,50,3934,true,303,""
29,1375201062,50,50,0,3,0.0,0.0,50,50,3900,true,345,""
30,1375241461,50,50,0,3,0.0,0.0,50,50,3947,true,317,""
