round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1383586725,50,49,1,6,0.0,0.0227,49,49,3854,true,297,""
2,1383625420,50,49,1,7,0.0,0.0233,49,49,3850,true,136,""
3,1383666680,50,48,2,10,0.0,0.05,48,48,3793,true,279,""
4,1383713866,50,48,2,5,0.0,0.0444,48,48,3812,true,17,""
5,1383754043,50,48,2,7,0.0,0.0465,48,48,3791,true,129,""
6,1383790463,50,48,2,5,0.0,0.0444,48,48,3806,true,19,""
7,1383826689,50,48,2,7,0.0,0.0465,48,48,3813,true,38,""
8,1383863534,50,48,2,5,0.0,0.0444,48,48,3794,true,53,""
9,1383899847,50,48,2,5,0.0,0.0444,48,48,3805,true,159,""
10,1383936669,50,48,2,5,0.0,0.0444,48,48,3802,true,34,""
11,1383973851,50,48,2,6,0.0,0.0455,48,48,3799,true,1,""
12,1384010646,50,48,2,4,0.0,0.0435,48,48,3800,true,65,""
13,1384046713,50,48,2,8,0.0,0.0476,48,48,3818,true,354,""
14,1384083152,50,49,1,5,0.0,0.0222,49,49,3861,true,8,""
15,1384119880,50,48,2,4,0.0,0.0435,48,48,3819,true,1,""
16,1384155843,50,49,1,8,0.0,0.0238,49,49,3863,true,167,""
17,1384193156,50,49,1,12,0.0,0.0263,49,49,3889,true,111,""
18,1384230058,50,50,0,6,0.0,0.0,50,50,3927,true,237,""
19,1384266727,50,50,0,5,0.0,0.0,50,50,3924,true,24,""
20,1384303436,50,50,0,6,0.0,0.0,50,50,3924,true,60,""
21,1384345922,50,50,0,5,0.0,0.0,50,50,3928,true,111,""
22,1384385829,50,50,0,5,0.0,0.0,50,50,3933,true,87,""
23,1384425012,50,50,0,8,0.0,0.0,50,50,3937,true,143,""
24,1384462417,50,50,0,5,0.0,0.0,50,50,3979,true,13,""
25,1384502101,50,50,0,2,0.0,0.0,50,50,3945,true,77,""
26,1384542750,50,50,0,7,0.0,0.0,50,50,3906,true,132,""
27,1384581414,50,50,0,8,0.0,0.0,50,50,3919,true,71,""
28,1384620767,50,50,0,2,0.0,0.0,50,50,3930,true,2,""
29,1384657712,50,50,0,5,0.0,0.0,50,50,3957,true,101,""
30,1384694167,50,50,0,3,0.0,0.0,50,50,3927,true,219,""
