round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1382433146,50,49,1,3,0.0,0.0213,49,49,3821,true,225,""
2,1382469415,50,48,2,7,0.0,0.0465,48,48,3777,true,1,""
3,1382505437,50,49,1,4,0.0,0.0217,49,49,3837,true,356,""
4,1382541705,50,49,1,8,0.0,0.0238,49,49,3868,true,26,""
5,1382577880,50,49,1,4,0.0,0.0217,49,49,3827,true,326,""
6,1382615122,50,49,1,3,0.0,0.0213,49,49,3887,true,32,""
7,1382653521,50,49,1,4,0.0,0.0217,49,49,3840,true,281,""
8,1382696773,50,49,1,8,0.0,0.0238,49,49,3842,true,290,""
9,1382739867,50,48,2,3,0.0,0.0426,48,48,3805,true,77,""
10,1382779908,50,48,2,5,0.0,0.0444,48,48,3787,true,199,""
11,1382815774,50,49,1,3,0.0,0.0213,49,49,3841,true,294,""
12,1382853889,50,48,2,11,0.0,0.0513,48,48,3822,true,80,""
13,1382889916,50,48,2,2,0.0,0.0417,48,48,3817,true,147,""
14,1382925642,50,48,2,4,0.0,0.0435,48,48,3809,true,87,""
15,1382965418,50,48,2,6,0.0,0.0455,48,48,3789,true,156,""
16,1383003718,50,48,2,3,0.0,0.0426,48,48,3777,true,10,""
17,1383039975,50,48,2,2,0.0,0.0417,48,48,3802,true,311,""
18,1383076433,50,48,2,3,0.0,0.0426,48,48,3816,true,122,""
19,1383113288,50,48,2,6,0.0,0.0455,48,48,3801,true,95,""
20,1383149861,50,49,1,11,0.0,0.0256,49,49,3879,true,12,""
21,1383186393,50,49,1,10,0.0,0.025,49,49,3898,true,6,""
22,1383222626,50,50,0,8,0.0,0.0,50,50,3906,true,254,""
23,1383259645,50,49,1,2,0.0,0.0208,49,49,3810,true,169,""
24,1383296412,50,49,1,3,0.0,0.0213,49,49,3841,true,73,""
25,1383332735,50,49,1,4,0.0,0.0217,49,49,3888,true,361,""
26,1383369513,50,49,1,3,0.0,0.0213,49,49,3895,true,68,""
27,1383406166,50,49,1,2,0.0,0.0208,49,49,3909,true,306,""
28,1383442499,50,49,1,4,0.0,0.0217,49,49,3847,true,355,""
29,1383479176,50,49,1,8,0.0,0.0238,49,49,3867,true,25,""
30,1383518506,50,49,1,5,0.0,0.0222,49,49,3810,true,3,""
