round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1384757208,50,49,1,4,0.0,0.0217,49,49,3875,true,12,""
2,1384795551,50,48,2,2,0.0,0.0417,48,48,3773,true,336,""
3,1384832999,50,49,1,7,0.0,0.0233,49,49,3852,true,220,""
4,1384872718,50,49,1,7,0.0,0.0233,49,49,3847,true,2,""
5,1384931227,50,49,1,6,0.0,0.0227,49,49,3895,true,58,""
6,1384978724,50,49,1,3,0.0,0.0213,49,49,3870,true,143,""
7,1385023533,50,49,1,4,0.0,0.0217,49,49,3867,true,231,""
8,1385069064,50,49,1,2,0.0,0.0208,49,49,3881,true,66,""
9,1385111109,50,49,1,4,0.0,0.0217,49,49,3848,true,339,""
10,1385163762,50,49,1,5,0.0,0.0222,49,49,3872,true,105,""
11,1385207537,50,49,1,5,0.0,0.0222,49,49,3891,true,1,""
12,1385247973,50,48,2,5,0.0,0.0444,48,48,3797,true,315,""
13,1385286951,50,48,2,4,0.0,0.0435,48,48,3810,true,313,""
14,1385330010,50,48,2,3,0.0,0.0426,48,48,3805,true,72,""
15,1385373249,50,47,3,4,0.0,0.0652,47,47,3730,true,73,""
16,1385414521,50,47,3,2,0.0,0.0625,47,47,3717,true,19,""
17,1385453398,50,47,3,5,0.0,0.0667,47,47,3748,true,135,""
18,1385492329,50,47,3,6,0.0,0.0682,47,47,3757,true,11,""
19,1385529973,50,46,4,5,0.0,0.0889,46,46,3651,true,62,""
20,1385567160,50,47,3,6,0.0,0.0682,47,47,3750,true,17,""
21,1385605284,50,47,3,3,0.0,0.0638,47,47,3748,true,163,""
22,1385643232,50,46,4,3,0.0,0.0851,46,46,3688,true,2,""
23,1385680280,50,46,4,9,0.0,0.0976,46,46,3740,true,119,""
24,1385718486,50,46,4,4,0.0,0.087,46,46,3676,true,309,""
25,1385755745,50,46,4,4,0.0,0.087,46,46,3666,true,164,""
26,1385794645,50,47,3,10,0.0,0.075,47,47,3727,true,39,""
27,1385832916,50,46,4,3,0.0,0.0851,46,46,3683,true,10,""
28,1385869677,50,45,5,4,0.0,0.1087,45,45,3606,true,49,""
29,1385907326,50,45,5,10,0.0,0.125,45,45,3603,true,33,""
30,1385944839,50,45,5,4,0.0,0.1087,45,45,3599,true,12,""
