round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1375302751,50,49,1,7,0.0,0.0233,49,49,3867,true,2,""
2,1375339469,50,49,1,3,0.0,0.0213,49,49,3863,true,301,""
3,1375376134,50,48,2,5,0.0,0.0444,48,48,3785,true,2,""
4,1375412428,50,48,2,4,0.0,0.0435,48,48,3783,true,140,""
5,1375452478,50,48,2,6,0.0,0.0455,48,48,3806,true,292,""
6,1375494424,50,48,2,4,0.0,0.0435,48,48,3820,true,79,""
7,1375533971,50,48,2,6,0.0,0.0455,48,48,3795,true,201,""
8,1375571546,50,48,2,3,0.0,0.0426,48,48,3797,true,18,""
9,1375609048,50,48,2,8,0.0,0.0476,48,48,3802,true,2,""
10,1375648020,50,49,1,6,0.0,0.0227,49,49,3860,true,165,""
11,1375687114,50,49,1,8,0.0,0.0238,49,49,3850,true,11,""
12,1375725758,50,49,1,1,0.0,0.0204,49,49,3843,true,18,""
13,1375764674,50,49,1,6,0.0,0.0227,49,49,3813,true,127,""
14,1375802088,50,49,1,7,0.0,0.0233,49,49,3814,true,33,""
15,1375839961,50,49,1,3,0.0,0.0213,49,49,3848,true,286,""
16,1375878659,50,50,0,5,0.0,0.0,50,50,3897,true,17,""
17,1375916720,50,50,0,7,0.0,0.0,50,50,3912,true,59,""
18,1375953895,50,50,0,5,0.0,0.0,50,50,3912,true,162,""
19,1375992447,50,50,0,4,0.0,0.0,50,50,3894,true,375,""
20,1376029944,50,50,0,6,0.0,0.0,50,50,3948,true,324,""
21,1376070277,50,50,0,3,0.0,0.0,50,50,3913,true,9,""
22,1376109524,50,50,0,2,0.0,0.0,50,50,3920,true,202,""
23,1376149217,50,50,0,7,0.0,0.0,50,50,3935,true,21,""
24,1376188038,50,50,0,4,0.0,0.0,50,50,3931,true,21,""
25,1376227138,50,50,0,3,0.0,0.0,50,50,3940,true,10,""
26,1376283239,50,50,0,8,0.0,0.0,50,50,3907,true,1,""
27,1376327170,50,50,0,4,0.0,0.0,50,50,3947,true,78,""
28,1376367582,50,50,0,2,0.0,0.0,50,50,3928,true,338,""
29,1376408187,50,50,0,6,0.0,0.0,50,50,3922,true,254,""
30,1376448677,50,50,0,3,0.0,0.0,50,50,3907,true,15,""
