round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1381327660,50,49,1,9,0.0,0.0244,49,49,3853,true,151,""
2,1381363873,50,49,1,4,0.0,0.0217,49,49,3886,true,358,""
3,1381400657,50,48,2,5,0.0,0.0444,48,48,3753,true,280,""
4,1381436796,50,47,3,5,0.0,0.0667,47,47,3713,true,7,""
5,1381472247,50,47,3,3,0.0,0.0638,47,47,3739,true,96,""
6,1381507807,50,47,3,5,0.0,0.0667,47,47,3743,true,317,""
7,1381543491,50,47,3,8,0.0,0.0714,47,47,3739,true,3,""
8,1381579031,50,47,3,5,0.0,0.0667,47,47,3686,true,1,""
9,1381616551,50,46,4,6,0.0,0.0909,46,46,3687,true,4,""
10,1381652328,50,46,4,3,0.0,0.0851,46,46,3649,true,65,""
11,1381687296,50,47,3,7,0.0,0.0698,47,47,3732,true,3,""
12,1381722965,50,48,2,6,0.0,0.0455,48,48,3821,true,290,""
13,1381759253,50,47,3,1,0.0,0.0612,47,47,3747,true,326,""
14,1381795437,50,47,3,5,0.0,0.0667,47,47,3749,true,329,""
15,1381831308,50,47,3,5,0.0,0.0667,47,47,3733,true,5,""
16,1381866852,50,48,2,4,0.0,0.0435,48,48,3784,true,140,""
17,1381902643,50,48,2,4,0.0,0.0435,48,48,3763,true,6,""
18,1381939337,50,48,2,11,0.0,0.0513,48,48,3825,true,188,""
19,1381975315,50,48,2,4,0.0,0.0435,48,48,3827,true,6,""
20,1382011243,50,48,2,5,0.0,0.0444,48,48,3801,true,53,""
21,1382047511,50,48,2,5,0.0,0.0444,48,48,3794,true,6,""
22,1382083638,50,48,2,7,0.0,0.0465,48,48,3778,true,354,""
23,1382120212,50,48,2,5,0.0,0.0444,48,48,3805,true,126,""
24,1382156222,50,48,2,7,0.0,0.0465,48,48,3801,true,29,""
25,1382192364,50,48,2,4,0.0,0.0435,48,48,3788,true,169,""
26,1382228628,50,48,2,4,0.0,0.0435,48,48,3794,true,141,""
27,1382264708,50,49,1,4,0.0,0.0217,49,49,3872,true,182,""
28,1382301156,50,48,2,4,0.0,0.0435,48,48,3764,true,94,""
29,1382337435,50,48,2,2,0.0,0.0417,48,48,3777,true,45,""
30,1382373774,50,48,2,5,0.0,0.0444,48,48,3769,true,236,""
