round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1387229229,50,49,1,5,0.0,0.0222,49,49,3877,true,34,""
2,1387271193,50,47,3,4,0.0,0.0652,47,47,3686,true,209,""
3,1387311637,50,47,3,5,0.0,0.0667,47,47,3714,true,1,""
4,1387354574,50,47,3,5,0.0,0.0667,47,47,3725,true,71,""
5,1387394616,50,48,2,7,0.0,0.0465,48,48,3818,true,5,""
6,1387443025,50,48,2,6,0.0,0.0455,48,48,3775,true,40,""
7,1387482246,50,49,1,3,0.0,0.0213,49,49,3831,true,284,""
8,1387521445,50,48,2,8,0.0,0.0476,48,48,3807,true,79,""
9,1387558440,50,48,2,5,0.0,0.0444,48,48,3778,true,109,""
10,1387608207,50,49,1,7,0.0,0.0233,49,49,3829,true,218,""
11,1387652614,50,49,1,7,0.0,0.0233,49,49,3854,true,312,""
12,1387690895,50,48,2,8,0.0,0.0476,48,48,3793,true,134,""
13,1387733003,50,48,2,3,0.0,0.0426,48,48,3813,true,57,""
14,1387781144,50,48,2,6,0.0,0.0455,48,48,3801,true,1,""
15,1387828420,50,48,2,4,0.0,0.0435,48,48,3811,true,30,""
16,1387872312,50,48,2,6,0.0,0.0455,48,48,3782,true,326,""
17,1387913269,50,48,2,3,0.0,0.0426,48,48,3751,true,176,""
18,1387957893,50,48,2,2,0.0,0.0417,48,48,3802,true,225,""
19,1388001611,50,48,2,3,0.0,0.0426,48,48,3840,true,18,""
20,1388041205,50,48,2,3,0.0,0.0426,48,48,3801,true,5,""
21,1388080360,50,49,1,6,0.0,0.0227,49,49,3854,true,53,""
22,1388123597,50,47,3,3,0.0,0.0638,47,47,3737,true,6,""
23,1388167314,50,47,3,3,0.0,0.0638,47,47,3720,true,1,""
24,1388210728,50,48,2,3,0.0,0.0426,48,48,3793,true,229,""
25,1388255843,50,47,3,3,0.0,0.0638,47,47,3752,true,238,""
26,1388295897,50,47,3,4,0.0,0.0652,47,47,3737,true,18,""
27,1388341165,50,47,3,3,0.0,0.0638,47,47,3753,true,8,""
28,1388380042,50,48,2,3,0.0,0.0426,48,48,3797,true,22,""
29,1388422208,50,47,3,5,0.0,0.0667,47,47,3710,true,313,""
30,1388462410,50,47,3,1,0.0,0.0612,47,47,3730,true,302,""
