round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1380201689,50,49,1,5,0.0,0.0222,49,49,3814,true,245,""
2,1380237642,50,49,1,6,0.0,0.0227,49,49,3858,true,8,""
3,1380274607,50,48,2,4,0.0,0.0435,48,48,3794,true,38,""
4,1380310459,50,48,2,1,0.0,0.0408,48,48,3778,true,196,""
5,1380346862,50,48,2,4,0.0,0.0435,48,48,3765,true,68,""
6,1380383887,50,49,1,4,0.0,0.0217,49,49,3870,true,328,""
7,1380421000,50,50,0,6,0.0,0.0,50,50,3903,true,54,""
8,1380457637,50,50,0,2,0.0,0.0,50,50,3882,true,288,""
9,1380494562,50,50,0,2,0.0,0.0,50,50,3894,true,96,""
10,1380530953,50,50,0,5,0.0,0.0,50,50,3892,true,36,""
11,1380567128,50,50,0,3,0.0,0.0,50,50,3911,true,278,""
12,1380603869,50,50,0,5,0.0,0.0,50,50,3949,true,27,""
13,1380641119,50,50,0,2,0.0,0.0,50,50,3917,true,32,""
14,1380678670,50,50,0,3,0.0,0.0,50,50,3932,true,291,""
15,1380715546,50,50,0,5,0.0,0.0,50,50,3915,true,180,""
16,1380752527,50,50,0,3,0.0,0.0,50,50,3917,true,29,""
17,1380788898,50,49,1,5,0.0,0.0222,49,49,3838,true,55,""
18,1380825184,50,49,1,2,0.0,0.0208,49,49,3841,true,7,""
19,1380861617,50,50,0,4,0.0,0.0,50,50,3936,true,223,""
20,1380898140,50,50,0,6,0.0,0.0,50,50,3931,true,175,""
21,1380934955,50,50,0,4,0.0,0.0,50,50,3940,true,27,""
22,1380971986,50,50,0,3,0.0,0.0,50,50,3936,true,286,""
23,1381008929,50,50,0,4,0.0,0.0,50,50,3900,true,297,""
24,1381046068,50,50,0,5,0.0,0.0,50,50,3929,true,139,""
25,1381082817,50,50,0,5,0.0,0.0,50,50,3912,true,312,""
26,1381119288,50,50,0,5,0.0,0.0,50,50,3923,true,24,""
27,1381156264,50,50,0,2,0.0,0.0,50,50,3959,true,6,""
28,1381192771,50,50,0,6,0.0,0.0,50,50,3894,true,1,""
29,1381230357,50,50,0,5,0.0,0.0,50,50,3887,true,12,""
30,1381267093,50,50,0,7,0.0,0.0,50,50,3930,true,137,""
