round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1386005843,50,49,1,4,0.0,0.0217,49,49,3851,true,20,""
2,1386043748,50,48,2,6,0.0,0.0455,48,48,3801,true,373,""
3,1386083339,50,48,2,10,0.0,0.05,48,48,3787,true,15,""
4,1386122957,50,47,3,5,0.0,0.0667,47,47,3763,true,152,""
5,1386160456,50,47,3,1,0.0,0.0612,47,47,3751,true,95,""
6,1386198876,50,47,3,4,0.0,0.0652,47,47,3738,true,321,""
7,1386237521,50,47,3,7,0.0,0.0698,47,47,3742,true,31,""
8,1386275275,50,47,3,4,0.0,0.0652,47,47,3726,true,55,""
9,1386313333,50,47,3,4,0.0,0.0652,47,47,3752,true,4,""
10,1386351370,50,47,3,6,0.0,0.0682,47,47,3782,true,2,""
11,1386389154,50,47,3,4,0.0,0.0652,47,47,3758,true,6,""
12,1386427233,50,47,3,5,0.0,0.0667,47,47,3741,true,21,""
13,1386464681,50,47,3,6,0.0,0.0682,47,47,3752,true,3,""
14,1386506001,50,47,3,8,0.0,0.0714,47,47,3732,true,291,""
15,1386546735,50,47,3,3,0.0,0.0638,47,47,3735,true,139,""
16,1386586533,50,47,3,3,0.0,0.0638,47,47,3750,true,44,""
17,1386624664,50,47,3,6,0.0,0.0682,47,47,3734,true,71,""
18,1386663739,50,47,3,4,0.0,0.0652,47,47,3706,true,78,""
19,1386700912,50,47,3,3,0.0,0.0638,47,47,3748,true,17,""
20,1386738530,50,47,3,4,0.0,0.0652,47,47,3704,true,11,""
21,1386776927,50,47,3,2,0.0,0.0625,47,47,3755,true,11,""
22,1386814794,50,48,2,2,0.0,0.0417,48,48,3806,true,17,""
23,1386859926,50,48,2,3,0.0,0.0426,48,48,3820,true,19,""
24,1386898531,50,48,2,7,0.0,0.0465,48,48,3799,true,22,""
25,1386944964,50,48,2,1,0.0,0.0408,48,48,3778,true,10,""
26,1386984767,50,49,1,5,0.0,0.0222,49,49,3873,true,68,""
27,1387038831,50,50,0,10,0.0,0.0,50,50,3919,true,12,""
28,1387082229,50,48,2,1,0.0,0.0408,48,48,3785,true,67,""
29,1387120809,50,48,2,4,0.0,0.0435,48,48,3851,true,4,""
30,1387160972,50,48,2,7,0.0,0.0465,48,48,3788,true,134,""
