round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1376516833,50,49,1,6,0.0,0.0227,49,49,3881,true,30,""
2,1376559725,50,49,1,4,0.0,0.0217,49,49,3857,true,26,""
3,1376613055,50,49,1,5,0.0,0.0222,49,49,3870,true,32,""
4,1376654385,50,49,1,8,0.0,0.0238,49,49,3893,true,182,""
5,1376692557,50,49,1,6,0.0,0.0227,49,49,3827,true,97,""
6,1376730982,50,49,1,4,0.0,0.0217,49,49,3823,true,45,""
7,1376770507,50,49,1,5,0.0,0.0222,49,49,3886,true,160,""
8,1376823945,50,49,1,3,0.0,0.0213,49,49,3835,true,2,""
9,1376863867,50,49,1,3,0.0,0.0213,49,49,3892,true,171,""
10,1376904912,50,49,1,2,0.0,0.0208,49,49,3847,true,42,""
11,1376943021,50,49,1,4,0.0,0.0217,49,49,3858,true,3,""
12,1376984594,50,49,1,2,0.0,0.0208,49,49,3834,true,74,""
13,1377022987,50,49,1,4,0.0,0.0217,49,49,3853,true,235,""
14,1377060739,50,49,1,4,0.0,0.0217,49,49,3832,true,38,""
15,1377098953,50,49,1,5,0.0,0.0222,49,49,3849,true,327,""
16,1377137197,50,49,1,6,0.0,0.0227,49,49,3865,true,14,""
17,1377175448,50,49,1,3,0.0,0.0213,49,49,3851,true,83,""
18,1377213998,50,49,1,3,0.0,0.0213,49,49,3857,true,35,""
19,1377251889,50,49,1,5,0.0,0.0222,49,49,3857,true,3,""
20,1377289642,50,50,0,5,0.0,0.0,50,50,3915,true,1,""
21,1377328190,50,50,0,5,0.0,0.0,50,50,3894,true,14,""
22,1377366844,50,50,0,5,0.0,0.0,50,50,3929,true,1,""
23,1377405503,50,50,0,5,0.0,0.0,50,50,3901,true,323,""
24,1377443553,50,50,0,2,0.0,0.0,50,50,3933,true,51,""
25,1377481635,50,50,0,5,0.0,0.0,50,50,3916,true,168,""
26,1377519318,50,50,0,2,0.0,0.0,50,50,3935,true,301,""
27,1377556956,50,50,0,3,0.0,0.0,50,50,3882,true,19,""
28,1377605786,50,50,0,3,0.0,0.0,50,50,3913,true,295,""
29,1377669491,50,50,0,4,0.0,0.0,50,50,3952,true,9,""
30,1377720725,50,50,0,2,0.0,0.0,50,50,3915,true,3,""
