round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1377810423,50,49,1,6,0.0,0.0227,49,49,3828,true,10,""
2,1377861134,50,49,1,3,0.0,0.0213,49,49,3869,true,179,""
3,1377903438,50,49,1,4,0.0,0.0217,49,49,3865,true,10,""
4,1377942551,50,49,1,4,0.0,0.0217,49,49,3902,true,37,""
5,1377999964,50,49,1,5,0.0,0.0222,49,49,3876,true,4,""
6,1378041979,50,49,1,3,0.0,0.0213,49,49,3895,true,130,""
7,1378100774,50,49,1,3,0.0,0.0213,49,49,3851,true,83,""
8,1378142781,50,49,1,8,0.0,0.0238,49,49,3834,true,30,""
9,1378192445,50,49,1,5,0.0,0.0222,49,49,3858,true,359,""
10,1378232322,50,49,1,6,0.0,0.0227,49,49,3860,true,58,""
11,1378271385,50,49,1,0,0.0,0.02,49,49,3878,true,11,""
12,1378309956,50,49,1,6,0.0,0.0227,49,49,3852,true,181,""
13,1378350712,50,49,1,6,0.0,0.0227,49,49,3866,true,7,""
14,1378393644,50,49,1,4,0.0,0.0217,49,49,3850,true,230,""
15,1378434256,50,49,1,3,0.0,0.0213,49,49,3908,true,105,""
16,1378474183,50,49,1,4,0.0,0.0217,49,49,3834,true,5,""
17,1378512206,50,49,1,1,0.0,0.0204,49,49,3855,true,17,""
18,1378551650,50,49,1,3,0.0,0.0213,49,49,3880,true,342,""
19,1378592434,50,49,1,6,0.0,0.0227,49,49,3851,true,325,""
20,1378631356,50,49,1,6,0.0,0.0227,49,49,3874,true,55,""
21,1378669746,50,49,1,8,0.0,0.0238,49,49,3876,true,11,""
22,1378711766,50,49,1,4,0.0,0.0217,49,49,3835,true,335,""
23,1378754396,50,49,1,6,0.0,0.0227,49,49,3864,true,135,""
24,1378794414,50,49,1,7,0.0,0.0233,49,49,3849,true,8,""
25,1378833864,50,49,1,5,0.0,0.0222,49,49,3867,true,9,""
26,1378875860,50,48,2,5,0.0,0.0444,48,48,3800,true,362,""
27,1378918171,50,48,2,4,0.0,0.0435,48,48,3798,true,5,""
28,1378954797,50,48,2,2,0.0,0.0417,48,48,3799,true,37,""
29,1378991214,50,48,2,4,0.0,0.0435,48,48,3798,true,60,""
30,1379026945,50,48,2,6,0.0,0.0455,48,48,3806,true,98,""
