round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1388530461,50,49,1,4,0.0,0.0217,49,49,3855,true,7,""
2,1388567545,50,46,4,4,0.0,0.087,46,46,3657,true,140,""
3,1388610791,50,45,5,3,0.0,0.1064,45,45,3586,true,311,""
4,1388647840,50,46,4,4,0.0,0.087,46,46,3649,true,86,""
5,1388684150,50,45,5,3,0.0,0.1064,45,45,3620,true,170,""
6,1388719903,50,45,5,5,0.0,0.1111,45,45,3648,true,65,""
7,1388755564,50,45,5,7,0.0,0.1163,45,45,3616,true,11,""
8,1388792028,50,46,4,4,0.0,0.087,46,46,3665,true,293,""
9,1388827875,50,46,4,4,0.0,0.087,46,46,3669,true,114,""
10,1388863664,50,45,5,2,0.0,0.1042,45,45,3659,true,211,""
11,1388899793,50,46,4,6,0.0,0.0909,46,46,3683,true,188,""
12,1388935793,50,46,4,2,0.0,0.0833,46,46,3656,true,319,""
13,1388971879,50,48,2,8,0.0,0.0476,48,48,3820,true,239,""
14,1389010423,50,47,3,3,0.0,0.0638,47,47,3730,true,4,""
15,1389046226,50,47,3,3,0.0,0.0638,47,47,3746,true,61,""
16,1389082734,50,47,3,3,0.0,0.0638,47,47,3718,true,64,""
17,1389119360,50,47,3,3,0.0,0.0638,47,47,3735,true,20,""
18,1389155270,50,47,3,2,0.0,0.0625,47,47,3719,true,126,""
19,1389191054,50,47,3,7,0.0,0.0698,47,47,3698,true,3,""
20,1389227197,50,48,2,9,0.0,0.0488,48,48,3799,true,374,""
21,1389263298,50,49,1,5,0.0,0.0222,49,49,3856,true,83,""
22,1389299823,50,47,3,4,0.0,0.0652,47,47,3753,true,207,""
23,1389335506,50,47,3,7,0.0,0.0698,47,47,3787,true,26,""
24,1389371841,50,48,2,8,0.0,0.0476,48,48,3804,true,325,""
25,1389408921,50,46,4,1,0.0,0.0816,46,46,3710,true,55,""
26,1389445812,50,48,2,9,0.0,0.0488,48,48,3814,true,246,""
27,1389481881,50,46,4,9,0.0,0.0976,46,46,3696,true,69,""
28,1389517341,50,46,4,6,0.0,0.0909,46,46,3674,true,314,""
29,1389552757,50,46,4,5,0.0,0.0889,46,46,3652,true,10,""
30,1389588236,50,46,4,6,0.0,0.0909,46,46,3686,true,76,""
