mode,malicious_rate,round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,dump_file,cells_kept_pre,cells_kept_post
full,0.1,1,1049643996,50,42,8,6,1.0,0.0455,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/full_mal0.1_r1.json,149,138
full,0.1,2,1049709049,50,42,8,6,1.0,0.0455,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/full_mal0.1_r2.json,147,135
full,0.1,3,1049774025,50,42,8,6,1.0,0.0455,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/full_mal0.1_r3.json,146,136
full,0.1,4,1049838816,50,42,8,6,1.0,0.0455,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/full_mal0.1_r4.json,143,134
full,0.1,5,1049903776,50,41,9,6,1.0,0.0682,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/full_mal0.1_r5.json,145,135
full,0.1,6,1049968133,50,39,11,6,1.0,0.1136,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/full_mal0.1_r6.json,144,132
full,0.1,7,1050031501,50,39,11,6,1.0,0.1136,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/full_mal0.1_r7.json,145,134
full,0.1,8,1050094856,50,36,14,6,1.0,0.1818,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/full_mal0.1_r8.json,147,134
full,0.1,9,1050156835,50,35,15,6,1.0,0.2045,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/full_mal0.1_r9.json,146,133
full,0.1,10,1050218621,50,32,18,6,1.0,0.2727,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/full_mal0.1_r10.json,96,90
no_integ,0.1,1,1050336934,50,50,0,6,0.0,0.0,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/no_integ_mal0.1_r1.json,167,152
no_integ,0.1,2,1050348557,50,50,0,6,0.0,0.0,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/no_integ_mal0.1_r2.json,163,155
no_integ,0.1,3,1050360090,50,50,0,6,0.0,0.0,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/no_integ_mal0.1_r3.json,164,152
no_integ,0.1,4,1050372756,50,50,0,6,0.0,0.0,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/no_integ_mal0.1_r4.json,162,153
no_integ,0.1,5,1050384233,50,50,0,6,0.0,0.0,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/no_integ_mal0.1_r5.json,166,151
no_integ,0.1,6,1050397181,50,50,0,6,0.0,0.0,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/no_integ_mal0.1_r6.json,162,149
no_integ,0.1,7,1050409052,50,50,0,6,0.0,0.0,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/no_integ_mal0.1_r7.json,164,150
no_integ,0.1,8,1050421696,50,50,0,6,0.0,0.0,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/no_integ_mal0.1_r8.json,168,155
no_integ,0.1,9,1050433852,50,50,0,6,0.0,0.0,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/no_integ_mal0.1_r9.json,163,148
no_integ,0.1,10,1050445629,50,50,0,6,0.0,0.0,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260425_004722/no_integ_mal0.1_r10.json,161,148
