round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error,gradual_drift_offset_avg_m,gradual_drift_offset_max_m,gradual_drift_terminal_offset_avg_m,gradual_drift_terminal_offset_max_m
1,0,50,48,2,2,1.0,0.0,0,0,0,true,0,"",,,,
2,0,50,48,2,2,1.0,0.0,0,0,0,true,0,"",,,,
3,0,50,43,7,7,1.0,0.0,0,0,0,true,0,"",,,,
4,0,50,48,2,2,1.0,0.0,0,0,0,true,0,"",,,,
5,0,50,41,9,9,1.0,0.0,0,0,0,true,0,"",,,,
6,0,50,48,2,2,1.0,0.0,0,0,0,true,0,"",,,,
7,0,50,47,3,3,1.0,0.0,0,0,0,true,0,"",,,,
8,0,50,45,5,5,1.0,0.0,0,0,0,true,0,"",,,,
9,0,50,48,2,2,1.0,0.0,0,0,0,true,0,"",,,,
10,0,50,41,9,9,1.0,0.0,0,0,0,true,0,"",,,,
