round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error,gradual_drift_offset_avg_m,gradual_drift_offset_max_m,gradual_drift_terminal_offset_avg_m,gradual_drift_terminal_offset_max_m
1,0,200,176,24,24,1.0,0.0,0,0,0,true,0,"",,,,
2,0,200,176,24,24,1.0,0.0,0,0,0,true,0,"",,,,
3,0,200,180,20,20,1.0,0.0,0,0,0,true,0,"",,,,
4,0,200,181,19,19,1.0,0.0,0,0,0,true,0,"",,,,
5,0,200,185,15,15,1.0,0.0,0,0,0,true,0,"",,,,
6,0,200,184,16,16,1.0,0.0,0,0,0,true,0,"",,,,
7,0,200,185,15,15,1.0,0.0,0,0,0,true,0,"",,,,
8,0,200,171,29,29,1.0,0.0,0,0,0,true,0,"",,,,
9,0,200,173,27,27,1.0,0.0,0,0,0,true,0,"",,,,
10,0,200,171,29,29,1.0,0.0,0,0,0,true,0,"",,,,
