mode,malicious_rate,round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,dump_file,cells_kept_pre,cells_kept_post
full,0.1,1,1962318485,50,42,8,6,1.0,0.0455,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260505_141027/full_mal0.1_r1.json,3,2
full,0.1,2,1962483578,50,42,8,6,1.0,0.0455,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260505_141027/full_mal0.1_r2.json,4,4
full,0.1,3,1962606488,50,42,8,6,1.0,0.0455,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260505_141027/full_mal0.1_r3.json,4,3
full,0.1,4,1962729588,50,42,8,6,1.0,0.0455,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260505_141027/full_mal0.1_r4.json,4,2
full,0.1,5,1962850075,50,41,9,6,1.0,0.0682,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260505_141027/full_mal0.1_r5.json,3,2
full,0.1,6,1962967922,50,39,11,6,1.0,0.1136,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260505_141027/full_mal0.1_r6.json,3,2
full,0.1,7,1963083054,50,39,11,6,1.0,0.1136,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260505_141027/full_mal0.1_r7.json,3,2
full,0.1,8,1963199342,50,37,13,6,1.0,0.1591,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260505_141027/full_mal0.1_r8.json,4,3
full,0.1,9,1963346118,50,36,14,6,1.0,0.1818,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260505_141027/full_mal0.1_r9.json,4,2
full,0.1,10,1963519255,50,33,17,6,1.0,0.25,/Users/wanghao/Desktop/risefl_mvp/experiments/utility_dumps/20260505_141027/full_mal0.1_r10.json,4,3
